Model,Scenario,Region,Variable,Unit,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Notes
OECD Env-Growth,SSP1,ABW,GDP|PPP,Annual Average Growth [%],6.305,5.348,6.061,6.625,6.655,6.402,5.962,5.504,5.033,4.582,4.124,3.708,3.317,2.956,2.470,2.060,1.689,1.305,,
OECD Env-Growth,SSP2,ABW,GDP|PPP,Annual Average Growth [%],6.305,5.189,5.314,5.264,4.921,4.933,4.826,4.707,4.538,4.381,4.167,3.935,3.666,3.411,3.057,2.793,2.549,2.332,,
OECD Env-Growth,SSP3,ABW,GDP|PPP,Annual Average Growth [%],5.992,4.688,4.465,4.083,3.480,3.387,3.321,3.210,3.147,3.128,3.108,3.021,2.924,2.823,2.642,2.543,2.465,2.359,,
OECD Env-Growth,SSP4,ABW,GDP|PPP,Annual Average Growth [%],6.305,5.348,6.180,6.636,6.713,6.488,6.063,5.648,5.210,4.798,4.377,3.955,3.546,3.165,2.713,2.366,2.055,1.773,,
OECD Env-Growth,SSP5,ABW,GDP|PPP,Annual Average Growth [%],6.615,5.897,7.355,8.319,8.484,7.844,7.145,6.503,5.899,5.353,4.836,4.361,3.930,3.546,3.045,2.625,2.237,1.841,,
OECD Env-Growth,SSP1,AFG,GDP|PPP,Annual Average Growth [%],5.052,4.423,5.824,6.895,7.493,7.619,7.430,7.050,6.556,5.997,5.444,4.897,4.383,3.912,3.470,3.075,2.727,2.401,,
OECD Env-Growth,SSP2,AFG,GDP|PPP,Annual Average Growth [%],5.290,4.544,5.258,5.558,5.649,5.804,5.869,5.857,5.761,5.599,5.440,5.274,5.101,4.899,4.677,4.436,4.194,3.958,,
OECD Env-Growth,SSP3,AFG,GDP|PPP,Annual Average Growth [%],5.496,4.920,5.158,5.075,4.903,4.941,4.916,4.804,4.620,4.414,4.232,4.056,3.861,3.618,3.366,3.127,2.911,2.716,,
OECD Env-Growth,SSP4,AFG,GDP|PPP,Annual Average Growth [%],5.447,4.805,4.960,4.773,4.409,4.378,4.308,4.167,3.969,3.757,3.591,3.437,3.268,3.057,2.849,2.661,2.501,2.364,,
OECD Env-Growth,SSP5,AFG,GDP|PPP,Annual Average Growth [%],5.003,4.364,6.083,7.652,8.471,8.452,8.098,7.579,6.984,6.354,5.782,5.230,4.731,4.302,3.904,3.556,3.255,2.977,,
OECD Env-Growth,SSP1,AGO,GDP|PPP,Annual Average Growth [%],5.223,6.203,3.409,2.698,2.392,3.067,4.001,4.677,4.928,4.889,4.641,4.255,3.829,3.402,2.989,2.615,2.272,1.944,,
OECD Env-Growth,SSP2,AGO,GDP|PPP,Annual Average Growth [%],5.451,6.072,2.975,1.774,0.873,1.415,2.399,3.344,3.957,4.286,4.406,4.373,4.227,4.019,3.772,3.518,3.269,3.033,,
OECD Env-Growth,SSP3,AGO,GDP|PPP,Annual Average Growth [%],5.479,5.882,3.039,1.806,0.502,0.177,0.571,1.295,1.938,2.390,2.682,2.825,2.864,2.805,2.693,2.548,2.435,2.309,,
OECD Env-Growth,SSP4,AGO,GDP|PPP,Annual Average Growth [%],5.510,5.935,3.174,2.257,1.329,1.351,2.045,2.957,3.667,4.098,4.312,4.357,4.282,4.100,3.872,3.613,3.395,3.176,,
OECD Env-Growth,SSP5,AGO,GDP|PPP,Annual Average Growth [%],5.239,6.390,4.342,4.225,4.141,4.402,4.927,5.397,5.546,5.442,5.143,4.719,4.271,3.834,3.422,3.057,2.725,2.410,,
OECD Env-Growth,SSP1,ALB,GDP|PPP,Annual Average Growth [%],1.864,2.497,2.897,3.160,3.199,2.972,2.621,2.148,1.797,1.535,1.245,0.921,0.686,0.480,0.233,0.025,-0.138,-0.325,,
OECD Env-Growth,SSP2,ALB,GDP|PPP,Annual Average Growth [%],1.920,2.514,2.562,2.412,2.197,2.110,1.985,1.761,1.620,1.539,1.411,1.255,1.152,1.034,0.893,0.786,0.727,0.711,,
OECD Env-Growth,SSP3,ALB,GDP|PPP,Annual Average Growth [%],2.059,2.672,2.398,2.003,1.582,1.427,1.298,1.110,1.013,0.989,0.957,0.946,0.987,0.957,0.888,0.859,0.883,0.955,,
OECD Env-Growth,SSP4,ALB,GDP|PPP,Annual Average Growth [%],1.871,2.417,2.403,2.370,2.185,2.054,1.868,1.606,1.439,1.333,1.146,0.909,0.737,0.577,0.397,0.272,0.191,0.125,,
OECD Env-Growth,SSP5,ALB,GDP|PPP,Annual Average Growth [%],1.802,2.458,3.195,3.816,3.985,3.640,3.215,2.706,2.357,2.108,1.811,1.444,1.161,0.939,0.704,0.519,0.384,0.213,,
