,Model,Scenario,Region,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
0,OECD Env-Growth,SSP1,ABW,1,1.06061,1.1248935721000002,1.1930733715049813,1.2653855485518983,1.3492173411434616,1.4386029899942159,1.5339104380813327,1.6355320046042208,1.7438859999092502,1.8599416132032105,1.983720727561884,2.115737341981127,2.256539662089971,2.406712376602058,2.560790102952122,2.7247318853431164,2.899169220642783,3.084774034148334,3.28226126781451,3.477949684601611,3.685305044797559,3.9050229315683898,4.137840398748497,4.384538443321882,4.625863439242319,4.880470962938216,5.149092084738335,5.432498113082333,5.731502809226384,6.019969345614748,6.322954402779538,6.641188697871432,6.975439725035302,7.326513606396328,7.662214459841407,8.01329712639134,8.380466400722591,8.7644593712037,9.166046899592253,9.544054673731436,9.93765148847612,10.347480235860875,10.774210320787777,11.218538754417064,11.634522171430849,12.065930253547505,12.513334947349046,12.977329407196748,13.458528781615604,13.904948181301792,14.366175312475571,14.842701347590385,15.335033751289957,15.843696820820243,16.31203649884369,16.794220297749508,17.290657449750984,17.801769283965623,18.327989583999646,18.780690926724436,19.244573992614527,19.719914970232104,20.206996869996836,20.706109692685757,21.132655552355082,21.567988256733596,22.012288814822305,22.465741964407645,22.92853624887444,23.31579922611793,23.709603075047067,24.110058270984613,24.517277155181546,24.931373966332565,25.256728396593203,25.586328702168746,25.92023029173205,26.258489297039155,26.601162582365514
1,OECD Env-Growth,SSP2,ABW,1,1.05314,1.1091038596,1.168041638699144,1.2301113713796163,1.2948644339690394,1.3630260977731696,1.4347757915599493,1.510302389227665,1.5898047069966093,1.6680389966279123,1.7501231956519718,1.8362467581100053,1.9266084610765986,2.021416863446178,2.121133357319978,2.2257688658365726,2.335566043988291,2.4507795169382334,2.5716764705087964,2.6957855769755508,2.8258841889203907,2.962261359877689,3.105220093105386,3.255078014798652,3.4082945369552244,3.5687229608097066,3.736702750575019,3.9125893490445853,4.0967549297041135,4.2826656684140865,4.477013036446718,4.68017988804067,4.892566451359956,5.1145911169226705,5.338661353755052,5.57254810766306,5.816681440259778,6.071510254157558,6.3375031183922,6.601586873335603,6.876674998347498,7.163226045528639,7.4617176748458185,7.7726474503566445,8.07850112752818,8.396390146896413,8.726788099176787,9.070187210879393,9.427099077627497,9.77269652981332,10.130963584596275,10.502364709607573,10.887381399861786,11.286512801980718,11.671495753656282,12.0696104738135,12.481304887075279,12.907042196773418,13.34730140610536,13.755328410090002,14.175828799586453,14.609183885989811,15.05578663738452,15.516042034889365,15.949405088923825,16.39487197305747,16.852780747264966,17.323478913536075,17.80732367959114,18.261232360183918,18.726711173045008,19.204055040845926,19.69356640383709,20.195555411470895,20.666515763666396,21.148458911275096,21.64164097308603,22.146324040578396,22.662776317204685
2,OECD Env-Growth,SSP3,ABW,1,1.04465,1.0912936225,1.140019882744625,1.1909217705091726,1.239547106399062,1.2901578147533355,1.3428349583297141,1.3976629096783162,1.4547294862804818,1.5053540724030425,1.5577403941226684,1.6119497598381372,1.6680456114805042,1.7260935987600257,1.7845563889500278,1.8449993138437653,1.9074894406036538,1.9720961079568997,2.0388910031334,2.1066025733474603,2.176562844808329,2.2488464968844135,2.3235306890459446,2.4006951432291603,2.4777574573268164,2.5572934717070073,2.6393825921488023,2.724106773356779,2.8115506007815316,2.9000300981881266,2.9912940453781074,3.085430068986157,3.1825285532571517,3.2826827268281544,3.385365042523339,3.491259261053469,3.6004658507392215,3.7130884225503444,3.829233828407719,3.9482464157946313,4.070957914397528,4.197483286377003,4.3279410669176,4.4624534752774,4.59726419476553,4.736147546089397,4.879226563456758,5.026627997938787,5.178482429756518,5.329901256002598,5.485747568728113,5.646150827637723,5.81124427783785,5.981165060521828,6.15001335018036,6.323628227055951,6.50214425190574,6.685699784137039,6.874437089043228,7.056059716935749,7.242480814657191,7.433827157780433,7.630228871288991,7.831819518068445,8.030982688412927,8.235210578179268,8.444631983182367,8.659378974514695,8.879586981836605,9.098468800938878,9.322746056882023,9.552551747184166,9.788022147752256,10.029296893694351,10.265888007416601,10.508060305511558,10.755945448118576,11.009678201239693,11.269396510006937
3,OECD Env-Growth,SSP4,ABW,1,1.0618,1.1274192400000003,1.1970937490320004,1.2710741427221781,1.3554226228332218,1.4453684680844343,1.5412831196265173,1.643562667444933,1.7526294860565788,1.8702835034555567,1.9958356350425281,2.1298160812229328,2.272790634755428,2.4253630700665596,2.582720626052478,2.750287540270763,2.92872619588353,3.1187419514724537,3.3210859292839867,3.5224433691764747,3.7360091106496442,3.962523343028332,4.20277113331614,4.457585147129097,4.709349556238949,4.975333619175325,5.256340461986348,5.553218571279337,5.866864356185195,6.172527989142443,6.494116697376764,6.832460177310094,7.18843135254795,7.562948626015699,7.925818901091932,8.306099691966322,8.704626355186866,9.12227432770873,9.559961049952195,9.978400545108602,10.415155136968007,10.871026477313098,11.346851306225092,11.843502987898566,12.311913531069953,12.798849711223768,13.305044217302669,13.83125871609699,14.378284998318625,14.888138984359005,15.416072392744375,15.962726319791091,16.528764595090884,17.11487458763281,17.656560368331387,18.215390503989074,18.791907613440326,19.38667148940571,20.0002596420454,20.542866686134094,21.100194659328913,21.67264294043651,22.260621743410557,22.864552411309287,23.405527721360865,23.959302507248264,24.52617960456976,25.10646901401388,25.70048807088545,26.228633100742147,26.7676315109624,27.31770633851268,27.879085203769115,28.452000404706574,28.95645437188202,29.46985230789549,29.992352789314477,30.524117204269025,31.065309802300717
4,OECD Env-Growth,SSP5,ABW,1,1.07355,1.1525096025000001,1.2372766837638751,1.328278383854708,1.4387778626075813,1.5584697929979061,1.688118895077402,1.8285535059588913,1.9806708721196116,2.1487109889102394,2.331007629209384,2.5287703164715083,2.7433111901209513,2.9760537114908128,3.2094953646201523,3.461248181020957,3.7327484883402415,4.02554527976565,4.341309051510468,4.651495583240891,4.983844942663453,5.339940663816757,5.721479424246464,6.1302791291088745,6.5289311808748245,6.953507575567114,7.405694173206243,7.8872864652898445,8.400196704127643,8.895724307704134,9.4204830846156,9.976197381777077,10.564693265328108,11.187904521049814,11.786793050061611,12.41774008203141,13.082461708622551,13.782765883885117,14.52055734164949,15.222771494691658,15.958944724174946,16.730719291036046,17.53981687595055,18.388042420071518,19.189944950010837,20.026818449280807,20.90018800185394,21.81164520061479,22.7628510478136,23.657431093992674,24.587168135986584,25.553443843730854,26.557694186789472,27.601411568330295,28.58015762254329,29.593610011838678,30.642999422858477,31.72960018239304,32.8547318048607,33.855158388318706,34.886047961243015,35.94832812166287,37.04295471296751,38.17091268397737,39.17289914193178,40.20118774440749,41.25646892269819,42.33945123191902,43.4508618267569,44.42285760582145,45.416596930463676,46.432566203798146,47.47126270977711,48.53319485659482,49.42669097390473,50.336636354734324,51.26333383002498,52.207091805835745,53.16822436598118
5,OECD Env-Growth,SSP1,AFG,1,1.05824,1.1198718976000002,1.1850932369162241,1.254113067034225,1.340584163006235,1.433017441045515,1.5318239936056033,1.6374432579647098,1.7503449706013767,1.8814983192485377,2.0224789883098304,2.174023338903886,2.336922907687954,2.5120285411610124,2.70341999571207,2.9093935651853724,3.131060260916846,3.3696157421961006,3.6263467655940214,3.895784330277657,4.185241106017287,4.496204520194372,4.830272516044814,5.189161763986943,5.554997668348023,5.946625003966559,6.365862066746201,6.814655342451808,7.295088544094661,7.773354549045507,8.282975673280932,8.82600755842123,9.404640613951326,10.021208852601976,10.622180747492518,11.259192926919646,11.934406726747017,12.650113098150037,13.408740380646096,14.13871220696847,14.908423699515835,15.720038285717477,16.57583716999194,17.478225745526302,18.334134460284723,19.231957024804863,20.173745960309557,21.161654299985916,22.197940511056224,23.17087624365582,24.186455749415256,25.246548104912126,26.353104308350424,27.508160870185424,28.584280123427078,29.702497161855547,30.864458850827337,32.071876481071705,33.32652828901123,34.482958820639915,35.67951749171612,36.91759674867867,38.19863735585782,39.52413007210608,40.739497071823344,41.992236606781915,43.283497882440464,44.61446544232551,45.986360254677024,47.24040829882206,48.528654233130936,49.85203063406841,51.21149550945945,52.60803299200241,53.87115186414039,55.1645982203984,56.48910022367017,57.8454035200405,59.23427165855668
6,OECD Env-Growth,SSP2,AFG,1,1.05258,1.1079246564,1.166179334833512,1.2274970442590583,1.2957213299789767,1.3677375214992082,1.4437563729441343,1.5240003521523693,1.6087042917249978,1.6995799971645429,1.7955892712043677,1.8970221091347024,2.0041848880797217,2.117401292407345,2.2402952634186675,2.370322000507487,2.507895489416942,2.6534537436227015,2.807460198902563,2.9722300379761544,3.1466702189049744,3.331348294052507,3.526865125430448,3.7338568396419607,3.9525488347397904,4.1840496199905,4.429109406233343,4.68852234415643,4.963129097853672,5.249054965181022,5.5514530217251,5.871272230306683,6.209516223494651,6.567246453130178,6.934946582040936,7.323234241169408,7.733262126332483,8.16624747278584,8.623475668787119,9.092592745169139,9.58722979050634,10.108775091109885,10.658692456066264,11.23852532567627,11.831245151352435,12.455225020634764,13.11211358822304,13.803646458865924,14.531650773106513,15.272910279042677,16.051981432376643,16.870793005242174,17.731372156439576,18.63584945013956,19.5488197147019,20.506516392525146,21.511130630594955,22.564960920187804,23.670418355667806,24.777483822162388,25.936326740524922,27.149368742179274,28.419144718250998,29.748308116723596,31.067943064781453,32.44611701913516,33.88542677010399,35.388584301625805,36.95842190124593,38.50845811578419,40.12350284916018,41.80628255865396,43.559638049163915,45.38652926894586,47.18292809741073,49.050428391506244,50.99184434724206,53.010101546505894,55.108241365716594
7,OECD Env-Growth,SSP3,AFG,1,1.05158,1.1058204964,1.162858717604312,1.2228389702583422,1.2848980479989531,1.3501066239349,1.4186245350995963,1.490619730255901,1.566268681566388,1.6430628350235879,1.7236222058247943,1.8081314025763837,1.8967840852447035,1.9897834089442512,2.0880986071801866,2.1912715593609593,2.2995422871089843,2.413162671515039,2.532397039114597,2.6568896775574706,2.787502374106196,2.9245359908172572,3.068306180125834,3.21914411194082,3.3737917950784575,3.535868752914027,3.705731887804017,3.8837552476941224,4.070330849793348,4.258380135053801,4.455117297293286,4.660943716428236,4.876279316127221,5.101563420532298,5.326746429914595,5.561869017331025,5.807369915756017,6.063707223837488,6.331359260697675,6.5993023846104,6.878584861527112,7.169686572866938,7.473107708630667,7.789369626859916,8.105306458925353,8.434057688899365,8.776143068761122,9.132103431630073,9.502501546816989,9.869393131539592,10.250450400348337,10.646220290305786,11.057270855714492,11.484192083453628,11.899690153032981,12.330220942769715,12.776328336479125,13.238575895692941,13.717547571599113,14.17928022285914,14.656554795160579,15.149894429565684,15.659839876064865,16.18695008629321,16.693116015491597,17.21510975329602,17.753426235281584,18.30857587365884,18.88108504122815,19.4307134267783,19.996341494631817,20.578434995540547,21.17747323826073,21.793949484226502,22.385873152218096,22.99387346703234,23.618387070396942,24.259862463228924,24.918760327730222
8,OECD Env-Growth,SSP4,AFG,1,1.0496,1.1016601600000002,1.1563025039360004,1.2136551081312261,1.2715828664423297,1.3322755166576221,1.3958650270676904,1.4624896648096313,1.5322942965109951,1.5998531520441648,1.670390677517792,1.7440382024895513,1.8209328468373156,1.9012177760543727,1.984453090290033,2.0713324465829306,2.162015381094331,2.2566684144786406,2.3554653576645155,2.456938805272703,2.5627837290038507,2.6731884520493367,2.7883494105636224,2.9084715031707034,3.029667510707827,3.1559137558790225,3.2874206820865015,3.4244075019090463,3.567102562513597,3.7086808632197616,3.855878406680954,4.008918220642121,4.168032184819407,4.33346138223489,4.496269526365455,4.665194372471006,4.840465725044742,5.022322022334673,5.211010660713787,5.398138053540019,5.5919851910426415,5.792793379252983,6.000812589501958,6.216301769590975,6.429956061411817,6.650953651242541,6.879546928235747,7.1159969561592105,7.360573771542403,7.601117322396409,7.849521836492324,8.106044210108893,8.370949734895252,8.64451237223163,8.90877511545075,9.181116370730079,9.461783098183297,9.75102980749476,10.049118788709874,10.335418183000218,10.629874247033893,10.932719364331888,11.244192539021702,11.56453958445843,11.87227198280087,12.1881931402632,12.512520959725604,12.845479142463903,13.187297342444868,13.517111648979414,13.85517461132039,14.201692528349513,14.556876858483534,14.920944348714206,15.273675473117812,15.63474516130232,16.004350536915506,16.382693383608192,16.769980255196693
9,OECD Env-Growth,SSP5,AFG,1,1.06083,1.1253602888999998,1.1938159552737868,1.2664357798330912,1.3633434457059193,1.467666486171336,1.5799723256931666,1.7008718080552077,1.831022518807592,1.9861284363757832,2.154373376221176,2.336870344920872,2.5348266318391195,2.7495517958222115,2.9819439136051047,3.233977813183008,3.5073136179532356,3.8037517649426427,4.1252448641155945,4.459307193211676,4.820421889717958,5.210779654347318,5.632748590756364,6.088888571635815,6.550365436480093,7.04681763291092,7.5808959413092385,8.155452044701066,8.77355375516896,9.38629874942996,10.041837854090147,10.743159809819803,11.493462090937618,12.2961654833687,13.077463838181947,13.908405890460028,14.792146000739857,15.732038957626866,16.731652712994475,17.699076872859816,18.72243749764857,19.80496883376261,20.950092131730766,22.16142645878744,23.32046906258202,24.54012959455506,25.82357837235029,27.17415152122421,28.59535964578424,29.94820611062629,31.36505574172002,32.84893652886079,34.40301971604119,36.0306265788071,37.58066413422738,39.19738430528185,40.883655778095076,42.64247064966873,44.476949737017485,46.21332985475065,48.01749825228011,49.89210138404913,51.8398890220824,53.8637182895045,55.77911211187928,57.762617338577705,59.81665601113753,61.94373629889358,64.14645556168225,66.23442269021501,68.39035314878151,70.61645914377436,72.91502488890423,75.28840894903807,77.52974488345095,79.83780538863128,82.21457685505084,84.6621048080257,87.18249566816064
